Gene,Coefficient,Abs_Importance
FYCO1,-0.9158709216892387,0.9158709216892387
GAS1,-0.5020614313186833,0.5020614313186833
POFUT1,-0.4684088343948395,0.4684088343948395
HSPD1,-0.45069386808014783,0.45069386808014783
NDUFA10,-0.4085014134294614,0.4085014134294614
FAM107B,-0.3938177719950375,0.3938177719950375
MRPL12,-0.12881586674266,0.12881586674266
ECHDC1,-0.11156247371343664,0.11156247371343664
STAT5B,0.014106847028408621,0.014106847028408621
UQCRH,-0.004467566529380691,0.004467566529380691
SF3B2,0.0,0.0
TCOF1,0.0,0.0
PDAP1,0.0,0.0
UBE2V1,0.0,0.0
SNTB2,0.0,0.0
NNT,0.0,0.0
MSLN,0.0,0.0
ILK,0.0,0.0
DYNC1I2,0.0,0.0
IGLV8-61,0.0,0.0
